track_id,artist,album,track,album_track_seq
61ZM92T2zaXIVsqncThQzC,Robin Schulz,In Your Eyes (feat. Alida),In Your Eyes (feat. Alida),1
3VPOZWtj8mM89IiRNygxgS,Fred De Palma,Uebe,Se iluminaba,12
0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,Please Excuse Me For Being Antisocial,The Box,2
6U0FIYXCQ3TGrk4tFpLrEA,BROCKHAMPTON,GINGER,SUGAR,2
0nuoIoKRckjudWUPWezzz6,Elodie,This Is Elodie,Margarita (con Marracash),4
1hoLUVBx0ixX3kn0EX0P5n,Juju,Kein Wort,Kein Wort,1
1nocRtwyNPVtGcIJqfgdzZ,Camilo,Tutu,Tutu,1
2LNMhZ3YijTO7USmqjgJfG,Denzel Curry,TA13OO,CLOUT COBAIN | CLOUT CO13A1N,5
3TRhqR8iMV4ZZko3dDnCJW,Pietro Lombardi,Standort,Standort,1
3f9Mzvd3URfbbIJBX4pz9Z,Dominic Fike,Phone Numbers,Phone Numbers,1
7FGq80cy8juXBCD2nrqdWU,benny blanco,FRIENDS KEEP SECRETS,Eastside (with Halsey & Khalid),1
60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,Hybrid Theory (Bonus Edition),In the End,8
7DOh0tBGnyMt6C5OO7o8Yq,Cazzu,Error 93,Nada,9
4etKC4ngPKsQDHUMnYgV3A,KSI,"Down Like That (feat. Rick Ross, Lil Baby & S-X)","Down Like That (feat. Rick Ross, Lil Baby & S-X)",1
0wXuerDYiBnERgIpbb3JBR,Childish Gambino,"""Awaken, My Love!""",Redbone,6
4N5o5NXu12ICWJlCNENjZT,Larry June,Out the Trunk,Smoothies in 1991,3
23DbzwNJSLo7nkSWjODMvY,LiSA,Gurenge,Gurenge,1
4ZLzoOkj0MPWrTLvooIuaa,Kina,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),1
3J5Pu25BODMex4Jpy4l6FL,Luíza & Maurílio,S de Saudade,S de Saudade,1
54TwNxgRorpA9lsStXcv0k,Cristiano Araújo,In The Cities - Ao Vivo Em Cuiabá,Caso Indefinido - Ao Vivo,12
4TnFANpjVwVKWzkxNzIyFH,Gradur,Zone 59,Ne reviens pas,7
5KBARWIxeMGkvUax9VtVC9,Saweetie,ICY,My Type,3
3o1CUVeHIid49sabk6A6Nf,Kygo,Forever Yours (Avicii Tribute),Forever Yours - Avicii Tribute,1
1WkMMavIMc4JZ8cfMmxHkI,Justin Timberlake,TROLLS (Original Motion Picture Soundtrack),"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",2
5gqLY5H1ZyT3BScVr0nDMs,Saweetie,Sway With Me (with GALXARA),Sway With Me (with GALXARA),1
0fjeOEBCmt1nAdoux2TDKF,Niska,MD,MD,1
1cVlW9WQiGlFdWUXFdFZGh,Piso 21,Pa' Olvidarme De Ella,Pa' Olvidarme De Ella,1
6rDrrmnI9j12xIYEa4m7Xm,Hornet La Frappe,Ma ruche,C'est mort (feat. Leto & RK),6
1RO8Q3w2Jkir8cvvGEApI0,Emma Heesters,Pa Olvidarte,Pa Olvidarte,1
0u7aRGM7YmvtsmG5NSrNsO,TWICE,Feel Special,Feel Special,1
0qaWEvPkts34WF68r8Dzx9,Riton,Turn Me On (feat. Vula),Turn Me On (feat. Vula),1
0YtkXpYxYIb7PYQU1JM9HR,大野雄智,A Colorful Hidden Fort,A Colorful Hidden Fort,1
1mCsF9Tw4AkIZOjvZbZZdT,Matthew Wilder,I Don't Speak The Language,Break My Stride,1
7sQKy5vlPQllr0k9IjYJv3,Dimelo Flow,Sigues Con El,Sigues Con El,1
0y50PSpOcYLOYrc0Xgw67R,David Hohme,Anjunadeep 09,Soft Landing - Jody Wisternoff & James Grant Remix,16
0y50PSpOcYLOYrc0Xgw67R,David Hohme,Anjunadeep 09,Soft Landing - Jody Wisternoff & James Grant Remix,16
1i5oEx2vFczQ2sCY3c6Kn5,Nazareth,Hair Of The Dog,Love Hurts,3
4dpTz2Tgczw9lDdBAT0fvT,Carlos Rivera,Guerra (+ Sessions Recorded at Abbey Road),Me Muero,5
2bPGTMB5sFfFYQ2YvSmup0,Rammstein,RAMMSTEIN,DEUTSCHLAND,1
3VffiMehjhfqo7XZ5zGpCP,Neal McCoy,No Doubt About It,Wink,5
0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Hollywood's Bleeding,Sunflower - Spider-Man: Into the Spider-Verse,12
6q9XTgfWilsnyiFofvYrIF,Badshah,"Garmi (From ""Street Dancer 3D"")","Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",1
2QpGZOhTCHHiKmpSO9FW4h,Kanye West,JESUS IS KING,Follow God,3
2eAZfqOm4EnOF9VvN50Tyc,Lil Uzi Vert,Luv Is Rage 2,The Way Life Goes (feat. Oh Wonder),5
2WFa5RbfyeoBDGNkg3OD7M,Dadju,Poison Ou Antidote,Ma vie,9
6Up545NUflOiXo8cEraH49,Lauren Daigle,Look Up Child,You Say,5
