track_id,artist,album,track,album_track_seq,track_release_date
25GC50HslaaruyrKjdu0lP,Bullet For My Valentine,Fever,Your Betrayal,1,2010-04-20
7wpYSigAhQeZp3cdsMQ3Af,Bush,Sixteen Stone (Remastered),Glycerine,10,2014-10-14
1ng36571Iyov4HBxUClySn,Butthole Surfers,Electriclarryland,Pepper,3,1996-01-01
5YUJMvTg4AWHKjqQidTsGK,Buzzcocks,Love Bites,Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,2,1978
5qBqBdfTEIWJwAS0Jm2F5R,The Byrds,Turn! Turn! Turn!,Turn! Turn! Turn! (To Everything There Is a Season),1,1965-12-06
3OOFEF20WqtsUPcRbPY3L7,Cake,Comfort Eagle,Short Skirt / Long Jacket,4,2001-07-23
3Pzh926pXggbMe2ZpXyMV7,Cage The Elephant,Cage The Elephant (Expanded Edition),Ain't No Rest for the Wicked,3,2009-03-24
3mhOmh4tRKsMfnRmgZfeBm,Candlebox,Candlebox,Far Behind,5,1993-07-16
3iltRlox3jEeSKuqdW88EK,Canned Heat,On The Road Again,Going Up The Country,5,1989-01-01
3Qylbx7tZcsP9RggQ6umUh,Carl Perkins,The Dance Album,Blue Suede Shoes,1,1957
2DnJjbjNTV9Nd5NOa1KGba,Carly Simon,No Secrets,You're so Vain,3,1972
12q3V8ShACq2PSWINMc2rC,Carole King,Tapestry,It's Too Late,3,1971
4alHo6RGd0D3OUbTPExTHN,The Cars,The Cars,Just What I Needed,3,1978-06-06
7aQjPecQdIuNd1sz3KCDhD,The Cardigans,First Band On The Moon (Remastered),Lovefool,7,1996-01-01
3wM6RTAnF7IQpMFd7b9ZcL,Carpenters,Now & Then (Reissue),Yesterday Once More,6,1973-05-01
0ZUo4YjG4saFnEJhdWp9Bt,Carrie Underwood,Some Hearts,Before He Cheats,7,2005-11-14
5ykbOijJEfRhuo2Td1m0Qd,Catfish and the Bottlemen,The Ride,7,1,2016-05-27
33LC84JgLvK2KuW43MfaNq,Céline Dion,Let's Talk About Love,"My Heart Will Go On - Love Theme from ""Titanic""",12,1997-10-24
3g0mEQx3NTanacLseoP0Gw,The Chainsmokers,World War Joy,Takeaway,6,2019-12-06
3Wwy5wlxd8CpKMZGc4Mgjf,The Chantays,Pipeline,Pipeline,1,1963
383Xl5QTigwj3QiA3Qc6S7,The Charlie Daniels Band,A Decade Of Hits,The Devil Went Down to Georgia,1,1973
1JkZg3eMQTmTn93E8Yd3UL,Cheap Trick,In Color,I Want You to Want Me,4,1977-09
2goLsvvODILDzeeiT4dAoR,Cher,Believe,Believe,1,1998
1gyee1JuFFiP476LQpRMYU,Chevelle,Wonder What's Next (Expanded Edition),The Red,5,2002
0KMGxYKeUzK9wc5DZCt3HT,Chicago,Chicago X,If You Leave Me Now,4,1976-06-14
0tUELgOuOJ3KCsYMDDsNvD,Chris Cornell,Chris Cornell (Deluxe Edition),Nothing Compares 2 U - Live At SiriusXM/2015,8,2018-11-16
3fqwjXwUGN6vbzIwvyFMhx,Chris Stapleton,Traveller,Tennessee Whiskey,3,2015-05-04
5fnOrhQ4KgT5irGCjIccGH,Christopher Cross,Arthur - The Album [Original Soundtrack],Arthur's Theme (Best That You Can Do),1,1981
