track_id,artist,album,track,album_track_seq,track_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
36ulbeGLdspdIYSFKXIlmN,Sagopa Kajmer,Sarkastik,Toz Taneleri,1,2019-11-29,0.628,0.725,7,-7.387,1,0.11,0.0266,0.0,0.0549,0.458,173.952,269002,4
36ulbeGLdspdIYSFKXIlmN,Sagopa Kajmer,Sarkastik,Toz Taneleri,1,2019-11-29,0.628,0.725,7,-7.387,1,0.11,0.0266,0.0,0.0549,0.458,173.952,269002,4
6Nle9hKrkL1wQpwNfEkxjh,Frank Ocean,Chanel,Chanel,1,2017-03-10,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,210285,4
6Nle9hKrkL1wQpwNfEkxjh,Frank Ocean,Chanel,Chanel,1,2017-03-10,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,210285,4
6Nle9hKrkL1wQpwNfEkxjh,Frank Ocean,Chanel,Chanel,1,2017-03-10,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,210285,4
6Nle9hKrkL1wQpwNfEkxjh,Frank Ocean,Chanel,Chanel,1,2017-03-10,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,210285,4
6fWa5CRgy0z30OeGZyMBvD,Rod Wave,PTSD,Heart On Ice,4,2019-06-14,0.733,0.389,10,-8.468,0,0.0738,0.0513,0.0,0.141,0.244,157.878,159670,3
4SlqfJkQNAS7A5cvjBvQ3C,Yxng Le,Wat Is Je Naam,Wat Is Je Naam,1,2020-01-16,0.626,0.735,1,-7.13,1,0.0888,0.0203,0.0,0.162,0.763,199.799,157935,4
4SlqfJkQNAS7A5cvjBvQ3C,Yxng Le,Wat Is Je Naam,Wat Is Je Naam,1,2020-01-16,0.626,0.735,1,-7.13,1,0.0888,0.0203,0.0,0.162,0.763,199.799,157935,4
4SlqfJkQNAS7A5cvjBvQ3C,Yxng Le,Wat Is Je Naam,Wat Is Je Naam,1,2020-01-16,0.626,0.735,1,-7.13,1,0.0888,0.0203,0.0,0.162,0.763,199.799,157935,4
4SlqfJkQNAS7A5cvjBvQ3C,Yxng Le,Wat Is Je Naam,Wat Is Je Naam,1,2020-01-16,0.626,0.735,1,-7.13,1,0.0888,0.0203,0.0,0.162,0.763,199.799,157935,4
7ckWQdFniRR7CNsIA1VIML,Sha Sha,Tender Love (feat. DJ Maphorisa & Kabza De Small),Tender Love (feat. DJ Maphorisa & Kabza De Small),1,2019-10-25,0.845,0.394,10,-14.365,0,0.055,0.00591,0.312,0.054,0.447,113.015,444475,4
0f2KLgjCGKyMltbv4zpMxb,Blaq Diamond,Umuthi,Ibhanoyi,7,2020-01-31,0.784,0.635,6,-6.433,1,0.0831,0.447,1.97e-06,0.147,0.428,98.003,249796,4
5aUSEPNd3m5xliFK4pn5mU,Zedd,Good Thing (with Kehlani),Good Thing (with Kehlani),1,2019-09-27,0.693,0.564,1,-3.857,0,0.0378,0.399,0.0,0.0409,0.574,185.913,210901,3
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),12,2018-10-05,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
4Dr2hJ3EnVh2Aaot6fRwDO,IU,Love poem,Blueming,3,2019-11-18,0.819,0.674,0,-3.145,1,0.0587,0.0849,0.0,0.0667,0.682,106.032,217053,4
4Dr2hJ3EnVh2Aaot6fRwDO,IU,Love poem,Blueming,3,2019-11-18,0.819,0.674,0,-3.145,1,0.0587,0.0849,0.0,0.0667,0.682,106.032,217053,4
4Dr2hJ3EnVh2Aaot6fRwDO,IU,Love poem,Blueming,3,2019-11-18,0.819,0.674,0,-3.145,1,0.0587,0.0849,0.0,0.0667,0.682,106.032,217053,4
4Dr2hJ3EnVh2Aaot6fRwDO,IU,Love poem,Blueming,3,2019-11-18,0.819,0.674,0,-3.145,1,0.0587,0.0849,0.0,0.0667,0.682,106.032,217053,4
1znGxpojJSjxZZEWA5zWva,Volbeat,Guitar Gangsters & Cadillac Blood,Still Counting,8,2008,0.309,0.919,2,-3.131,1,0.0609,0.00039,0.000225,0.423,0.322,103.891,261813,4
0YAMQSmHk6BSUGTYpaoqTJ,ONE OK ROCK,Niche Syndrome,Wherever you are,9,2010-06-09,0.379,0.69,4,-4.79,1,0.0549,0.0286,0.0,0.335,0.288,173.716,295600,4
1MtmXPxXP4ntSjfF5xnOyM,Aya Nakamura,Pookie (feat. Capo Plaza) [Remix],Pookie (feat. Capo Plaza) - Remix,1,2019-08-30,0.84,0.62,1,-6.91,1,0.129,0.0584,0.0,0.0988,0.511,98.076,188401,4
2TifYdW9lTbEqBipirS679,4Keus,Vie d'artiste,MD (feat. Niska),6,2020-01-03,0.41,0.729,4,-5.253,0,0.4,0.499,0.0,0.124,0.593,75.301,210827,4
18uwL0vNUanqZH0ro2QcOP,Jeremy Zucker,"summer,",comethru,1,2018-09-28,0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982,181613,4
1sxUn0SdlFG05Q3qAA2FlE,Andmesh,Cinta Luar Biasa,Nyaman,2,2019-11-22,0.535,0.311,9,-11.164,1,0.0266,0.818,0.0,0.151,0.456,82.979,226603,4
7awUp2mRP7xjX9wBKhuwRu,Ghali,Boogieman (feat. Salmo),Boogieman (feat. Salmo),1,2020-01-17,0.8,0.724,1,-7.843,1,0.07,0.0853,0.000249,0.0922,0.351,112.049,159911,4
7awUp2mRP7xjX9wBKhuwRu,Ghali,Boogieman (feat. Salmo),Boogieman (feat. Salmo),1,2020-01-17,0.8,0.724,1,-7.843,1,0.07,0.0853,0.000249,0.0922,0.351,112.049,159911,4
7awUp2mRP7xjX9wBKhuwRu,Ghali,Boogieman (feat. Salmo),Boogieman (feat. Salmo),1,2020-01-17,0.8,0.724,1,-7.843,1,0.07,0.0853,0.000249,0.0922,0.351,112.049,159911,4
7awUp2mRP7xjX9wBKhuwRu,Ghali,Boogieman (feat. Salmo),Boogieman (feat. Salmo),1,2020-01-17,0.8,0.724,1,-7.843,1,0.07,0.0853,0.000249,0.0922,0.351,112.049,159911,4
1YwNlWLf8auhazSQUDQLFU,Depeche Mode,Enjoy The Silence (21490),Enjoy the Silence - Single Mix,1,1990,0.641,0.812,0,-7.945,0,0.0293,0.155,4.43e-05,0.078,0.822,112.777,257333,4
33LC84JgLvK2KuW43MfaNq,Céline Dion,Let's Talk About Love,"My Heart Will Go On - Love Theme from ""Titanic""",12,1997-10-24,0.428,0.276,4,-11.729,1,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,280000,1
1fXKStjVOTmBEwjAnFSNkc,Morat,Enamórate De Alguien Más,Enamórate De Alguien Más,1,2019-12-12,0.592,0.643,11,-5.608,1,0.0321,0.466,0.0,0.315,0.579,145.979,229107,4
6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),1,2019-01-11,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4
